id,total_price,shipping_price,cart,,,,payment_method,order_datetime,delivery_datetime,,vip_flag,admin_short,fulfilled,order_source,subtotal_price,total_discounts,is_delivery,is_gift,has_custom,is_post,transport,edited,is_corporate,promo_code
9987,2230,280,"{""heart-L&redvelvet.pink"":1}",,,,qr,2021-02-11 10:03:41.455822+00,2021-02-13 07:00:00+00,,no,Amy,t,line,1950,,t,f,f,f,car,f,f,
8588,1057,157,"{""hella"":6}",,,,qr,2021-01-26 12:28:43.738087+00,2021-01-28 04:00:00+00,,no,Kung,t,line,900,,t,f,f,f,bike,f,f,
9576,1800,0,"{""chocpudding-1lb"":0,""custom"":[{""title"":""1 lb chocolate ladyinpink"",""price"":1800,""quantity"":1,""id"":""deontspbi3s""}]}",,,,qr,2021-02-06 14:59:51.036813+00,2021-01-22 11:00:00+00,,no,unkwn,t,,,,f,f,f,f,,f,f,
6180,890,70,"{""banana_slice"":1,""salt"":1,""cookie"":[{""quantity"":1,""count"":5,""title"":""Box of 5 cookie"",""BABY OG"":2,""SEXY BACK"":2,""MATCHA POWWOW"":1,""id"":""8y40pclvw17"",""price"":450}]}",,,,qr,2020-11-30 13:27:43.882846+00,2020-11-29 12:10:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
6071,521,71,"{""cookie"":[{""quantity"":1,""count"":5,""title"":""Box of 5 cookie"",""MAMA OG"":1,""BABY OG"":1,""TRIPLE C"":1,""SEXY BACK"":1,""CORNFLAKE MARSHMALLOW"":1,""id"":""cg2m4i2dol"",""price"":450}]}",,,,qr,2020-11-28 12:09:58.983053+00,2020-11-23 14:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
4325,1277,77,"{""hella"":2,""cupc"":4,""salt"":2}",,,,qr,2020-09-20 03:11:00.330479+00,2020-09-20 04:00:00+00,,no,unkwn,t,,,,t,f,f,f,unkwn,f,f,
10071,490,0,"{""deathcake"":0,""heart-S&redvelvet.pink"":1}",,,,qr,2021-02-12 14:05:42.136572+00,2021-02-13 12:00:00+00,,no,Look,t,line,490,,f,f,f,f,bike,f,f,
8589,950,0,"{""heart-set&redvelvet,ganache.pinkgold"":1}",,,,qr,2021-01-26 12:38:37.559886+00,2021-01-30 03:00:00+00,,no,Kung,t,line,950,,f,f,f,f,bike,f,f,
9936,2290,240,"{""heart-L&ganache.pink"":1}",,,,qr,2021-02-11 01:27:18.20939+00,2021-02-14 07:00:00+00,,no,Kung,t,ig,2050,,t,t,f,f,car,t,f,
9577,1329,179,"{""heart-set&redvelvet,ganache.pinkgold"":1,""strawcheese"":1}",,,,qr,2021-02-06 15:00:03.068387+00,2021-01-22 12:00:00+00,,free,unkwn,t,,,,f,f,f,f,,f,f,
9988,1850,200,"{""banana-1lb#dearest"":0,""chocpudding-1lb#dearest"":1}",,,,qr,2021-02-11 11:18:29.737303+00,2021-02-13 11:00:00+00,,no,Kung,t,ig,1650,,t,f,f,f,car,t,f,
9989,840,0,"{""pbj"":1,""cupc"":2,""hella"":1,""redvelvet"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""reo33856p5"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",,,,qr,2021-02-11 11:21:23.75361+00,2021-02-11 11:40:00+00,,no,Ja,t,ig,840,,f,f,f,f,bike,f,f,
8590,450,0,"{""peanut"":2,""salt"":1}",,,,cash,2021-01-26 12:39:51.287936+00,2021-01-26 07:00:00+00,,no,Kampu,t,shop,450,,f,f,f,f,bike,f,f,
5846,2500,0,"{""chocpudding-2lb"":1}",,,,qr,2020-11-21 20:43:44.782813+00,2020-11-21 06:00:00+00,,no,unkwn,t,,,,f,f,f,f,unkwn,f,f,
10072,600,110,"{""heart-S&redvelvet.pink"":1}",,,,qr,2021-02-12 14:09:28.151038+00,2021-02-13 08:00:00+00,,no,Kung,t,line,490,,t,t,f,f,bike,t,f,
